INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,MULTIPLE_OFFENSE,MULTIPLE_BIAS,VICTIM_TYPES_1,VICTIM_TYPES_2,VICTIM_TYPES_3,Business,Financial Institution,Government,Individual,Law Enforcement Officer,Other,Religious Organization,Society/Public,Unknown,BIAS_DESC_1,BIAS_DESC_2,BIAS_DESC_3,BIAS_DESC_4,BIAS_DESC_5,Anti-American Indian or Alaska Native,Anti-Arab,Anti-Asian,Anti-Atheism/Agnosticism,Anti-Bisexual,Anti-Black or African American,Anti-Buddhist,Anti-Catholic,"Anti-Eastern Orthodox (Russian, Greek, Other)",Anti-Female,Anti-Gay (Male),Anti-Gender Non-Conforming,Anti-Heterosexual,Anti-Hindu,Anti-Hispanic or Latino,Anti-Islamic (Muslim),Anti-Jehovah's Witness,Anti-Jewish,Anti-Lesbian (Female),"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Anti-Male,Anti-Mental Disability,Anti-Mormon,"Anti-Multiple Races, Group","Anti-Multiple Religions, Group",Anti-Native Hawaiian or Other Pacific Islander,Anti-Other Christian,Anti-Other Race/Ethnicity/Ancestry,Anti-Other Religion,Anti-Physical Disability,Anti-Protestant,Anti-Sikh,Anti-Transgender,Anti-White
1341824,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",17-Oct-20,1,0,0,,,Unknown,Unknown,1,Simple Assault,1,Parking/Drop Lot/Garage,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341825,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",27-Sep-20,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341830,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",30-Jun-20,2,1,1,1,0,White,Hispanic or Latino,3,Aggravated Assault,3,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341833,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",27-Nov-20,1,1,2,2,0,Unknown,Unknown,2,Simple Assault,2,Restaurant,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341845,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",3-Nov-20,1,0,0,,,Unknown,Unknown,1,Intimidation,1,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Gay (Male),,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341866,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",26-Feb-20,1,0,0,,,Unknown,Unknown,1,Simple Assault,1,Convenience Store,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Hispanic or Latino,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341905,2020,TX1010000,Harris,,County,TX,Texas,West South Central,South,9A,"MSA counties 100,000 or over",11-Mar-20,1,0,1,1,0,White,Not Hispanic or Latino,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304844,2020,TX1010400,Deer Park,,City,TX,Texas,West South Central,South,4,"Cities from 25,000 thru 49,999",8-Aug-20,0,0,2,1,1,White,Multiple,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,S,S,Business,,,1,0,0,0,0,0,0,0,0,Anti-Black or African American,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260285,2020,TX1010600,Galena Park,,City,TX,Texas,West South Central,South,5,"Cities from 10,000 thru 24,999",22-Aug-20,1,0,1,1,0,White,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-American Indian or Alaska Native,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260316,2020,TX1010600,Galena Park,,City,TX,Texas,West South Central,South,5,"Cities from 10,000 thru 24,999",21-Oct-20,2,0,2,2,0,White,Not Hispanic or Latino,1,Aggravated Assault,2,Residence/Home,S,S,Individual,,,0,0,0,1,0,0,0,0,0,Anti-American Indian or Alaska Native,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
